"OldPath","NewPath"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2020_2020_2020_2020_neurips_2020_bootstrap_your_own_latent_a_new_approach_to_self_supervised_learning_paper_pdf.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2020_neurips_2020_bootstrap_your_own_latent_a_new_approach_to_self_supervised_learning_paper_pdf.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2022_2022_2022_2022_a_path_towards_autonomous_machine_intelligence.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2022_a_path_towards_autonomous_machine_intelligence.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2023_2023_2023_2023_assran_self_supervised_learning_from_images_with_a_joint_embedding_predictive_architecture_cvpr_2023_paper.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2023_assran_self_supervised_learning_from_images_with_a_joint_embedding_predictive_architecture_cvpr_2023_paper.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2023_2023_2023_2023_mc_jepa_a_joint_embedding_predictive_architecture_for_self_supervised_learning_of_motion_and_content_features.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2023_mc_jepa_a_joint_embedding_predictive_architecture_for_self_supervised_learning_of_motion_and_content_features.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2025_2025_2025_2025_audio_jepa_joint_embedding_predictive_architecture_for_audio_representation_learning.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2025_audio_jepa_joint_embedding_predictive_architecture_for_audio_representation_learning.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2025_2025_2025_2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2026_2026_2026_2026_parallel_stochastic_gradient_based_planning_for_world_models.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2026_parallel_stochastic_gradient_based_planning_for_world_models.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2026_2026_2026_2026_rectified_lpjepa_joint_embedding_predictive_architectures_with_sparse_and_maximum_entropy_representations.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2026_rectified_lpjepa_joint_embedding_predictive_architectures_with_sparse_and_maximum_entropy_representations.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2026_2026_2026_2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\2026_2026_2026_2026_v_jepa2_1_unlocking_dense_features_in_video.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\2026_v_jepa2_1_unlocking_dense_features_in_video.pdf"
"E:\CursorProject\JEPA-skills\corpus\papers\core\unk_unk_unk_unk_tutorial_on_joint_embedding_predictive_architectures_jepa_foundations_applications_and_future_directions.pdf","E:\CursorProject\JEPA-skills\corpus\papers\core\unk_tutorial_on_joint_embedding_predictive_architectures_jepa_foundations_applications_and_future_directions.pdf"
