paper_id,title_guess,year_guess,arxiv_id,tier,current_name,relative_path,score,query
arxiv_2605.15466,Entity-Centric World Models Interaction-Aware Masking for Causal Video Prediction,2026,2605.15466,long_tail,arxiv_2605.15466_Entity-Centric_World_Models_Interaction-Aware_Masking_for_Causal_Video_Prediction.pdf,.\corpus\papers\all\arxiv_2605.15466_Entity-Centric_World_Models_Interaction-Aware_Masking_for_Causal_Video_Prediction.pdf,2,"i-jepa,video,world model"
2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning,v jepa 2 self supervised video models enable understanding prediction and planning,2025,,core,2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning.pdf,.\corpus\papers\all\2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning.pdf,1,"i-jepa,video,world model"
2026_parallel_stochastic_gradient_based_planning_for_world_models,parallel stochastic gradient based planning for world models,2026,,core,2026_parallel_stochastic_gradient_based_planning_for_world_models.pdf,.\corpus\papers\all\2026_parallel_stochastic_gradient_based_planning_for_world_models.pdf,1,"i-jepa,video,world model"
2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model,thinkjepa empowering latent world models with large vision language reasoning model,2026,,core,2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model.pdf,.\corpus\papers\all\2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model.pdf,1,"i-jepa,video,world model"
2026_v_jepa2_1_unlocking_dense_features_in_video,v jepa2 1 unlocking dense features in video,2026,,core,2026_v_jepa2_1_unlocking_dense_features_in_video.pdf,.\corpus\papers\all\2026_v_jepa2_1_unlocking_dense_features_in_video.pdf,1,"i-jepa,video,world model"
arxiv_2505.03176,seq-JEPA Autoregressive Predictive Learning of Invariant-Equivariant World Models,2025,2505.03176,long_tail,arxiv_2505.03176_seq-JEPA_Autoregressive_Predictive_Learning_of_Invariant-Equivariant_World_Models.pdf,.\corpus\papers\all\arxiv_2505.03176_seq-JEPA_Autoregressive_Predictive_Learning_of_Invariant-Equivariant_World_Models.pdf,1,"i-jepa,video,world model"
arxiv_2507.03633,From Video to EEG Adapting Joint Embedding Predictive Architecture to Uncover Visual Concepts in Brain Signal Analysis,2025,2507.03633,long_tail,arxiv_2507.03633_From_Video_to_EEG_Adapting_Joint_Embedding_Predictive_Architecture_to_Uncover_Visual_Concepts_in_Brain_Signal_Analysis.pdf,.\corpus\papers\all\arxiv_2507.03633_From_Video_to_EEG_Adapting_Joint_Embedding_Predictive_Architecture_to_Uncover_Visual_Concepts_in_Brain_Signal_Analysis.pdf,1,"i-jepa,video,world model"
arxiv_2509.24317,Rethinking JEPA Compute-Efficient Video SSL with Frozen Teachers,2025,2509.24317,long_tail,arxiv_2509.24317_Rethinking_JEPA_Compute-Efficient_Video_SSL_with_Frozen_Teachers.pdf,.\corpus\papers\all\arxiv_2509.24317_Rethinking_JEPA_Compute-Efficient_Video_SSL_with_Frozen_Teachers.pdf,1,"i-jepa,video,world model"
arxiv_2510.21840,Improving the Physics of Video Generation with VJEPA-2 Reward Signal,2025,2510.21840,long_tail,arxiv_2510.21840_Improving_the_Physics_of_Video_Generation_with_VJEPA-2_Reward_Signal.pdf,.\corpus\papers\all\arxiv_2510.21840_Improving_the_Physics_of_Video_Generation_with_VJEPA-2_Reward_Signal.pdf,1,"i-jepa,video,world model"
arxiv_2511.16333,Beyond Generative AI World Models for Clinical Prediction Counterfactuals and Planning,2025,2511.16333,long_tail,arxiv_2511.16333_Beyond_Generative_AI_World_Models_for_Clinical_Prediction_Counterfactuals_and_Planning.pdf,.\corpus\papers\all\arxiv_2511.16333_Beyond_Generative_AI_World_Models_for_Clinical_Prediction_Counterfactuals_and_Planning.pdf,1,"i-jepa,video,world model"
