"paper_id","title_guess","year_guess","arxiv_id","tier","collection","current_name","relative_path","size_bytes","sha256"
"arxiv_2409.19638","BadHMP Backdoor Attack against Human Motion Prediction","2024","2409.19638","long_tail","all","arxiv_2409.19638_BadHMP_Backdoor_Attack_against_Human_Motion_Prediction.pdf",".\corpus\papers\all\arxiv_2409.19638_BadHMP_Backdoor_Attack_against_Human_Motion_Prediction.pdf","934237","8A803F01116A7E7DC6667ABFF8D42E39B302A7AAD6E5874120F2FEC6A336C06F"
"arxiv_2410.08559","Learning General Representation of 12-Lead Electrocardiogram with a Joint-Embedding Predictive Architecture","2024","2410.08559","long_tail","all","arxiv_2410.08559_Learning_General_Representation_of_12-Lead_Electrocardiogram_with_a_Joint-Embedding_Predictive_Architecture.pdf",".\corpus\papers\all\arxiv_2410.08559_Learning_General_Representation_of_12-Lead_Electrocardiogram_with_a_Joint-Embedding_Predictive_Architecture.pdf","1477082","955277E90CB402A03C4891C88F2E2F16D050BEAFF111E66B03E8583AD3EADF24"
"arxiv_2501.04969","Self-Supervised Representation Learning with Joint Embedding Predictive Architecture for Automotive LiDAR Object Detecti","2025","2501.04969","long_tail","all","arxiv_2501.04969_Self-Supervised_Representation_Learning_with_Joint_Embedding_Predictive_Architecture_for_Automotive_LiDAR_Object_Detecti.pdf",".\corpus\papers\all\arxiv_2501.04969_Self-Supervised_Representation_Learning_with_Joint_Embedding_Predictive_Architecture_for_Automotive_LiDAR_Object_Detecti.pdf","8345168","A74EED1AE797DDF2880033FCC6DF3DAB990FD2F6274C28EA3E2A07A797C1178B"
"arxiv_2501.14266","TrajFlow A Generative Framework for Occupancy Density Estimation Using Normalizing Flows","2025","2501.14266","long_tail","all","arxiv_2501.14266_TrajFlow_A_Generative_Framework_for_Occupancy_Density_Estimation_Using_Normalizing_Flows.pdf",".\corpus\papers\all\arxiv_2501.14266_TrajFlow_A_Generative_Framework_for_Occupancy_Density_Estimation_Using_Normalizing_Flows.pdf","5625816","155D1768E8AB74D8524A0FCCEAEE45943444AB12EA1D4286B93A71901542D4D1"
"arxiv_2501.14622","ACT-JEPA Novel Joint-Embedding Predictive Architecture for Efficient Policy Representation Learning","2025","2501.14622","long_tail","all","arxiv_2501.14622_ACT-JEPA_Novel_Joint-Embedding_Predictive_Architecture_for_Efficient_Policy_Representation_Learning.pdf",".\corpus\papers\all\arxiv_2501.14622_ACT-JEPA_Novel_Joint-Embedding_Predictive_Architecture_for_Efficient_Policy_Representation_Learning.pdf","511463","83CFA2E1BD4C2A754693448C46A8D2C31AD30C3A0DA5318E362CC43896D958DE"
"arxiv_2502.01684","Predict Cluster Refine A Joint Embedding Predictive Self-Supervised Framework for Graph Representation Learning","2025","2502.01684","long_tail","all","arxiv_2502.01684_Predict_Cluster_Refine_A_Joint_Embedding_Predictive_Self-Supervised_Framework_for_Graph_Representation_Learning.pdf",".\corpus\papers\all\arxiv_2502.01684_Predict_Cluster_Refine_A_Joint_Embedding_Predictive_Self-Supervised_Framework_for_Graph_Representation_Learning.pdf","975145","D904BBBAA5BDB183F9C8716576DB54D06F5BD52E8298AD3A1881EC7500AB3AD4"
"arxiv_2502.05857","EgoAgent A Joint Predictive Agent Model in Egocentric Worlds","2025","2502.05857","long_tail","all","arxiv_2502.05857_EgoAgent_A_Joint_Predictive_Agent_Model_in_Egocentric_Worlds.pdf",".\corpus\papers\all\arxiv_2502.05857_EgoAgent_A_Joint_Predictive_Agent_Model_in_Egocentric_Worlds.pdf","5653368","0BE68FA1F61737B24219F72396A924449DB47854943D8CDDB27FA5EB0D3E06D3"
"arxiv_2502.14819","Learning from Reward-Free Offline Data A Case for Planning with Latent Dynamics Models","2025","2502.14819","long_tail","all","arxiv_2502.14819_Learning_from_Reward-Free_Offline_Data_A_Case_for_Planning_with_Latent_Dynamics_Models.pdf",".\corpus\papers\all\arxiv_2502.14819_Learning_from_Reward-Free_Offline_Data_A_Case_for_Planning_with_Latent_Dynamics_Models.pdf","3846356","5491927BBBC966953CFA17FF24E1208349C8E344921AA0DAD2363B16D8456CCF"
"arxiv_2502.18056","Escaping The Big Data Paradigm in Self-Supervised Representation Learning","2025","2502.18056","long_tail","all","arxiv_2502.18056_Escaping_The_Big_Data_Paradigm_in_Self-Supervised_Representation_Learning.pdf",".\corpus\papers\all\arxiv_2502.18056_Escaping_The_Big_Data_Paradigm_in_Self-Supervised_Representation_Learning.pdf","987329","072172C5EFFAD7516D9A2B8E061C04E9AD3C64222FC370EA1C68F8C5D7A1DDAA"
"arxiv_2504.01928","Is the Reversal Curse a Binding Problem Uncovering Limitations of Transformers from a Basic Generalization Failure","2025","2504.01928","long_tail","all","arxiv_2504.01928_Is_the_Reversal_Curse_a_Binding_Problem_Uncovering_Limitations_of_Transformers_from_a_Basic_Generalization_Failure.pdf",".\corpus\papers\all\arxiv_2504.01928_Is_the_Reversal_Curse_a_Binding_Problem_Uncovering_Limitations_of_Transformers_from_a_Basic_Generalization_Failure.pdf","727278","50127A1543BD4C4CAD2DBA33001BAF90F102B15D2B154F5A1F2C8EBED937BEE7"
"arxiv_2504.10512","JEPA4Rec Learning Effective Language Representations for Sequential Recommendation via Joint Embedding Predictive Archit","2025","2504.10512","long_tail","all","arxiv_2504.10512_JEPA4Rec_Learning_Effective_Language_Representations_for_Sequential_Recommendation_via_Joint_Embedding_Predictive_Archit.pdf",".\corpus\papers\all\arxiv_2504.10512_JEPA4Rec_Learning_Effective_Language_Representations_for_Sequential_Recommendation_via_Joint_Embedding_Predictive_Archit.pdf","1897424","63DCA2C70B31C7C2A67E503A97991A8F6BD5DFAB8E274007D65032DD96A8E1E9"
