status,bytes,kind,filename,label,source_url,pdf_url,message
exists,424993,arxiv,arxiv_2601.03665_PhysVideoGenerator_Towards_Physically_Aware_Video_Generation_via_Latent_Physics_Guidance.pdf,PhysVideoGenerator: Towards Physically Aware Video Generation via Latent Physics Guidance,https://arxiv.org/abs/2601.03665,https://arxiv.org/pdf/2601.03665.pdf,
exists,1845939,arxiv,arxiv_2601.01577_HanoiWorld_A_Joint_Embedding_Predictive_Architecture_BasedWorld_Model_for_Autonomous_Vehicle_Controller.pdf,HanoiWorld : A Joint Embedding Predictive Architecture BasedWorld Model for Autonomous Vehicle Controller,https://arxiv.org/abs/2601.01577,https://arxiv.org/pdf/2601.01577.pdf,
exists,1565958,arxiv,arxiv_2601.00366_BERT-JEPA_Reorganizing_CLS_Embeddings_for_Language-Invariant_Semantics.pdf,BERT-JEPA: Reorganizing CLS Embeddings for Language-Invariant Semantics,https://arxiv.org/abs/2601.00366,https://arxiv.org/pdf/2601.00366.pdf,
exists,489889,arxiv,arxiv_2601.00844_Value-guided_action_planning_with_JEPA_world_models.pdf,Value-guided action planning with JEPA world models,https://arxiv.org/abs/2601.00844,https://arxiv.org/pdf/2601.00844.pdf,
exists,2049765,arxiv,arxiv_2512.19171_JEPA-Reasoner_Decoupling_Latent_Reasoning_from_Token_Generation.pdf,JEPA-Reasoner: Decoupling Latent Reasoning from Token Generation,https://arxiv.org/abs/2512.19171,https://arxiv.org/pdf/2512.19171.pdf,
exists,849795,arxiv,arxiv_2512.19605_KerJEPA_Kernel_Discrepancies_for_Euclidean_Self-Supervised_Learning.pdf,KerJEPA: Kernel Discrepancies for Euclidean Self-Supervised Learning,https://arxiv.org/abs/2512.19605,https://arxiv.org/pdf/2512.19605.pdf,
exists,1217263,arxiv,arxiv_2512.10942_VL-JEPA_Joint_Embedding_Predictive_Architecture_for_Vision-language.pdf,VL-JEPA: Joint Embedding Predictive Architecture for Vision-language,https://arxiv.org/abs/2512.10942,https://arxiv.org/pdf/2512.10942.pdf,
exists,1070543,arxiv,arxiv_2512.07168_JEPA_as_a_Neural_Tokenizer_Learning_Robust_Speech_Representations_with_Density_Adaptive_Attention.pdf,JEPA as a Neural Tokenizer: Learning Robust Speech Representations with Density Adaptive Attention,https://arxiv.org/abs/2512.07168,https://arxiv.org/pdf/2512.07168.pdf,
exists,4317471,arxiv,arxiv_2512.06232_Opinion_Learning_Intuitive_Physics_May_Require_More_than_Visual_Data.pdf,Opinion: Learning Intuitive Physics May Require More than Visual Data,https://arxiv.org/abs/2512.06232,https://arxiv.org/pdf/2512.06232.pdf,
exists,9911189,arxiv,arxiv_2512.04832_Tokenizing_Buildings_A_Transformer_for_Layout_Synthesis.pdf,Tokenizing Buildings: A Transformer for Layout Synthesis,https://arxiv.org/abs/2512.04832,https://arxiv.org/pdf/2512.04832.pdf,
exists,4815368,arxiv,arxiv_2512.00379_EnzyCLIP_A_Cross-Attention_Dual_Encoder_Framework_with_Contrastive_Learning_for_Predicting_Enzyme_Kinetic_Constants.pdf,EnzyCLIP: A Cross-Attention Dual Encoder Framework with Contrastive Learning for Predicting Enzyme Kinetic Constants,https://arxiv.org/abs/2512.00379,https://arxiv.org/pdf/2512.00379.pdf,
exists,8080451,arxiv,arxiv_2511.18640_Health_system_learning_achieves_generalist_neuroimaging_models.pdf,Health system learning achieves generalist neuroimaging models,https://arxiv.org/abs/2511.18640,https://arxiv.org/pdf/2511.18640.pdf,
exists,6432783,arxiv,arxiv_2511.18424_CrossJEPA_Cross-Modal_Joint-Embedding_Predictive_Architecture_for_Efficient_3D_Representation_Learning_from_2D_Images.pdf,CrossJEPA: Cross-Modal Joint-Embedding Predictive Architecture for Efficient 3D Representation Learning from 2D Images,https://arxiv.org/abs/2511.18424,https://arxiv.org/pdf/2511.18424.pdf,
exists,8446068,arxiv,arxiv_2511.17354_DSeq-JEPA_Discriminative_Sequential_Joint-Embedding_Predictive_Architecture.pdf,DSeq-JEPA: Discriminative Sequential Joint-Embedding Predictive Architecture,https://arxiv.org/abs/2511.17354,https://arxiv.org/pdf/2511.17354.pdf,
exists,7307314,arxiv,arxiv_2511.16567_POMA-3D_The_Point_Map_Way_to_3D_Scene_Understanding.pdf,POMA-3D: The Point Map Way to 3D Scene Understanding,https://arxiv.org/abs/2511.16567,https://arxiv.org/pdf/2511.16567.pdf,
